2013-10-09 15:32:14 INFO  Concatenate:52 - Destination dir =C:\Users\rjilan01\Documents\projects\CDS\Merged
2013-10-09 15:32:14 INFO  Concatenate:54 - Merging 2 files
2013-10-09 15:32:14 INFO  Concatenate:65 - C:\Users\rjilan01\Documents\projects\CDS\Merged\preview[3].pdf
2013-10-09 15:32:14 INFO  Concatenate:65 - C:\Users\rjilan01\Documents\projects\CDS\Merged\preview[4].pdf
2013-10-09 15:33:42 INFO  Concatenate:52 - Destination dir =C:\Users\rjilan01\Documents\projects\CDS\Merged
2013-10-09 15:33:42 INFO  Concatenate:54 - Merging 3 files
2013-10-09 15:33:42 INFO  Concatenate:65 - C:\Users\rjilan01\Documents\projects\CDS\Merged\concatenated.pdf
2013-10-09 15:33:42 INFO  Concatenate:65 - C:\Users\rjilan01\Documents\projects\CDS\Merged\preview[3].pdf
2013-10-09 15:33:42 INFO  Concatenate:65 - C:\Users\rjilan01\Documents\projects\CDS\Merged\preview[4].pdf
2013-10-09 15:34:48 INFO  Concatenate:52 - Destination dir =C:\Users\rjilan01\Documents\projects\CDS\Merged
2013-10-09 15:34:48 INFO  Concatenate:54 - Merging 2 files
2013-10-09 15:34:48 INFO  Concatenate:65 - C:\Users\rjilan01\Documents\projects\CDS\Merged\preview[3] - Copy.pdf
2013-10-09 15:34:48 INFO  Concatenate:65 - C:\Users\rjilan01\Documents\projects\CDS\Merged\preview[3].pdf
2013-10-09 15:34:48 INFO  Concatenate:96 - Files Merged
2013-10-09 15:35:28 INFO  Concatenate:52 - Destination dir =C:\Users\rjilan01\Documents\projects\CDS\Merged
2013-10-09 15:35:28 INFO  Concatenate:54 - Merging 2 files
2013-10-09 15:35:28 INFO  Concatenate:65 - C:\Users\rjilan01\Documents\projects\CDS\Merged\concatenated.pdf
2013-10-09 15:35:28 INFO  Concatenate:65 - C:\Users\rjilan01\Documents\projects\CDS\Merged\preview[4].pdf
2013-10-09 15:44:31 INFO  Concatenate:52 - Destination dir =C:\Users\rjilan01\Documents\projects\CDS\Merged
2013-10-09 15:44:31 INFO  Concatenate:54 - Merging 3 files
2013-10-09 15:44:31 INFO  Concatenate:65 - C:\Users\rjilan01\Documents\projects\CDS\Merged\concatenated.pdf
2013-10-09 15:44:31 INFO  Concatenate:65 - C:\Users\rjilan01\Documents\projects\CDS\Merged\preview[3].pdf
2013-10-09 15:44:31 INFO  Concatenate:65 - C:\Users\rjilan01\Documents\projects\CDS\Merged\preview[4].pdf
2013-10-09 19:48:10 INFO  Concatenate:52 - Destination dir =C:\Users\rjilan01\Documents\projects\CDS\Merged
2013-10-09 19:48:10 INFO  Concatenate:54 - Merging 3 files
2013-10-09 19:48:10 INFO  Concatenate:65 - C:\Users\rjilan01\Documents\projects\CDS\Merged\concatenated.pdf
2013-10-09 19:48:10 INFO  Concatenate:65 - C:\Users\rjilan01\Documents\projects\CDS\Merged\preview[3].pdf
2013-10-09 19:48:10 INFO  Concatenate:65 - C:\Users\rjilan01\Documents\projects\CDS\Merged\preview[4].pdf
2013-10-10 10:45:01 INFO  Concatenate:52 - Destination dir =C:\Users\rjilan01\Documents\projects\CDS\Merged
2013-10-10 10:45:01 INFO  Concatenate:54 - Merging 3 files
2013-10-10 10:45:01 INFO  Concatenate:65 - C:\Users\rjilan01\Documents\projects\CDS\Merged\concatenated.pdf
2013-10-10 10:45:01 INFO  Concatenate:65 - C:\Users\rjilan01\Documents\projects\CDS\Merged\preview[3].pdf
2013-10-10 10:45:01 INFO  Concatenate:65 - C:\Users\rjilan01\Documents\projects\CDS\Merged\preview[4].pdf
2013-10-10 10:45:30 INFO  Concatenate:52 - Destination dir =C:\Users\rjilan01\Documents\projects\CDS\Merged
2013-10-10 10:45:30 INFO  Concatenate:54 - Merging 3 files
2013-10-10 10:45:30 INFO  Concatenate:65 - C:\Users\rjilan01\Documents\projects\CDS\Merged\concatenated.pdf
2013-10-10 10:45:30 INFO  Concatenate:65 - C:\Users\rjilan01\Documents\projects\CDS\Merged\preview[3].pdf
2013-10-10 10:45:30 INFO  Concatenate:65 - C:\Users\rjilan01\Documents\projects\CDS\Merged\preview[4].pdf
2013-10-10 17:43:58 INFO  Concatenate:52 - Destination dir =C:\Users\rjilan01\Documents\projects\CDS\Merged
2013-10-10 17:43:58 INFO  Concatenate:54 - Merging 3 files
2013-10-10 17:43:58 INFO  Concatenate:65 - C:\Users\rjilan01\Documents\projects\CDS\Merged\concatenated.pdf
2013-10-10 17:43:58 INFO  Concatenate:65 - C:\Users\rjilan01\Documents\projects\CDS\Merged\preview[3].pdf
2013-10-10 17:43:58 INFO  Concatenate:65 - C:\Users\rjilan01\Documents\projects\CDS\Merged\preview[4].pdf
2013-11-04 15:30:11 INFO  Concatenate:52 - Destination dir =C:\Users\rjilan01\Documents\projects\CDS\Merged
2013-11-04 15:30:11 INFO  Concatenate:54 - Merging 3 files
2013-11-04 15:30:11 INFO  Concatenate:65 - C:\Users\rjilan01\Documents\projects\CDS\Merged\concatenated.pdf
2013-11-04 15:30:11 INFO  Concatenate:65 - C:\Users\rjilan01\Documents\projects\CDS\Merged\preview[3].pdf
2013-11-04 15:30:11 INFO  Concatenate:65 - C:\Users\rjilan01\Documents\projects\CDS\Merged\preview[4].pdf
2013-11-04 15:30:41 INFO  Concatenate:52 - Destination dir =C:\Users\rjilan01\Documents\projects\CDS\encryption
2013-11-04 15:30:41 INFO  Concatenate:54 - Merging 3 files
2013-11-04 15:30:41 INFO  Concatenate:65 - C:\Users\rjilan01\Documents\projects\CDS\encryption\decrypted.pdf
2013-11-04 15:30:41 INFO  Concatenate:65 - C:\Users\rjilan01\Documents\projects\CDS\encryption\encrypted.pdf
2013-11-04 15:30:41 INFO  Concatenate:65 - C:\Users\rjilan01\Documents\projects\CDS\encryption\encryptedFromDecrypted.pdf
2013-11-04 15:41:51 INFO  Concatenate:52 - Destination dir =C:\Users\rjilan01\Documents\projects\CDS\encryption
2013-11-04 15:41:51 INFO  Concatenate:54 - Merging 3 files
2013-11-04 15:41:51 INFO  Concatenate:65 - C:\Users\rjilan01\Documents\projects\CDS\encryption\decrypted.pdf
2013-11-04 15:41:51 INFO  Concatenate:65 - C:\Users\rjilan01\Documents\projects\CDS\encryption\encrypted.pdf
2013-11-04 15:41:51 INFO  Concatenate:65 - C:\Users\rjilan01\Documents\projects\CDS\encryption\encryptedFromDecrypted.pdf
2013-11-04 15:44:44 INFO  Concatenate:52 - Destination dir =C:\Users\rjilan01\Documents\projects\CDS\encryption
2013-11-04 15:44:44 INFO  Concatenate:54 - Merging 2 files
2013-11-04 15:44:44 INFO  Concatenate:65 - C:\Users\rjilan01\Documents\projects\CDS\encryption\encrypted.pdf
2013-11-04 15:44:44 INFO  Concatenate:65 - C:\Users\rjilan01\Documents\projects\CDS\encryption\encrypted1.pdf
2013-11-04 15:45:30 INFO  Concatenate:52 - Destination dir =C:\Users\rjilan01\Documents\projects\CDS\encryption
2013-11-04 15:45:30 INFO  Concatenate:54 - Merging 3 files
2013-11-04 15:45:30 INFO  Concatenate:65 - C:\Users\rjilan01\Documents\projects\CDS\encryption\decrypted.pdf
2013-11-04 15:45:30 INFO  Concatenate:65 - C:\Users\rjilan01\Documents\projects\CDS\encryption\encrypted.pdf
